filename,class_name,stem,raw_split,gt_area,pseudo_area,pred_area,prob_mean,prob_p95,pseudo_iou,pseudo_dice,pseudo_precision,pseudo_recall,pseudo_f1,pseudo_pixel_accuracy,pseudo_specificity,pseudo_tp,pseudo_fp,pseudo_fn,pseudo_tn,pred_iou,pred_dice,pred_precision,pred_recall,pred_f1,pred_pixel_accuracy,pred_specificity,pred_tp,pred_fp,pred_fn,pred_tn
to_label_134.jpg,ALGAL_LEAF_SPOT,to_label_134,test,0.004763233418367347,0.0,0.3460220025510204,0.40075504779815674,0.9881722331047058,0.0,0.0,0.0,0.0,0.0,0.9952367665796491,0.9999999999979975,0,0,239,49937,0.008768913342453182,0.01738537583081992,0.008812348807690287,0.6401673637488839,0.017385373151843395,0.6553132971925715,0.6553857860891615,153,17209,86,32728
to_label_177.jpg,ALGAL_LEAF_SPOT,to_label_177,test,0.020627391581632654,0.0,0.4362244897959184,0.41558533906936646,0.9851441979408264,0.0,0.0,0.0,0.0,0.0,0.9793726084164155,0.9999999999979651,0,0,1035,49141,0.039827625311681436,0.0766042839066588,0.040113304093383984,0.8483091786619991,0.07660427528381936,0.5781449298457866,0.5724547729989775,878,21010,157,28131
to_label_19.jpg,ALGAL_LEAF_SPOT,to_label_19,train,0.018415178571428572,0.19573102678571427,0.20334422831632654,0.20856429636478424,0.998625636100769,0.09386134582007674,0.17161470451213015,0.09388046023730902,0.997835497727507,0.17161468879081324,0.8226044323963198,0.8193169820498267,922,8899,2,40353,0.0903478686909324,0.16572301608550621,0.09036557875046196,0.997835497727507,0.16572300085493788,0.8149912308657227,0.8115609518378715,922,9281,2,39971
to_label_197.jpg,ALGAL_LEAF_SPOT,to_label_197,test,0.009546396683673469,0.0,0.5169802295918368,0.513050377368927,0.9950618743896484,0.0,0.0,0.0,0.0,0.0,0.9904536033143525,0.9999999999979878,0,0,479,49697,0.018465690053899513,0.036261781293628594,0.018465690053899513,0.9999999997912317,0.036261777733059386,0.49256616709085504,0.4876753123921209,479,25461,0,24236
to_label_199.jpg,ALGAL_LEAF_SPOT,to_label_199,test,0.01189811862244898,0.0,0.32077088647959184,0.35984328389167786,0.9937468767166138,0.0,0.0,0.0,0.0,0.0,0.9881018813755817,0.999999999997983,0,0,597,49579,0.024929387203580195,0.04864605799156095,0.025225225225068496,0.6800670015611279,0.04864605109397939,0.6835140306108827,0.6835555376254391,406,15689,191,33890
to_label_20.jpg,ALGAL_LEAF_SPOT,to_label_20,train,0.06435347576530612,0.20876514668367346,0.21107700892857142,0.2226327359676361,0.998885989189148,0.20538305919425293,0.34077641564258043,0.2229116945086118,0.7231340972213337,0.3407763796189643,0.8199537627534679,0.8266129891136247,2335,8140,894,38807,0.20341344479098386,0.33806078147367535,0.22056463034443805,0.7234437906248546,0.33806074566002897,0.817681760202452,0.824163418321034,2336,8255,893,38692
to_label_21.jpg,ALGAL_LEAF_SPOT,to_label_21,train,0.028360172193877552,0.21627869897959184,0.23050860969387754,0.2358906865119934,0.9964238405227661,0.11257137677773432,0.20236252545659988,0.11444894950134123,0.8728039352865211,0.20236250495741637,0.8048668686208449,0.8028839250901424,1242,9610,181,39143,0.11397941680862796,0.204634690890718,0.11490575825596656,0.9339423751978958,0.204634671378723,0.7941047512739275,0.7900231780592168,1329,10237,94,38516
to_label_221.jpg,ALGAL_LEAF_SPOT,to_label_221,test,0.012137276785714286,0.0,0.4714205994897959,0.457952082157135,0.9785296320915222,0.0,0.0,0.0,0.0,0.0,0.9878627232123169,0.9999999999979825,0,0,609,49567,0.0208692725206342,0.04088529860264235,0.02096896930742805,0.8144499177644582,0.040885293708486606,0.5362125318866864,0.532793996004332,496,23158,113,26409
to_label_24.jpg,ALGAL_LEAF_SPOT,to_label_24,train,0.018494897959183673,0.3315330038265306,0.3332469706632653,0.3422141671180725,0.9800398945808411,0.051550712489213564,0.09804703068895947,0.051758340847299314,0.9278017240379525,0.09804702067910988,0.6842912946414933,0.6797027290434541,861,15774,67,33474,0.05159983316420425,0.09813587172022134,0.05179116081543095,0.9331896550718546,0.09813586175643961,0.6827766262741495,0.6780579922013522,866,15855,62,33393
to_label_26.jpg,ALGAL_LEAF_SPOT,to_label_26,train,0.013073979591836735,0.1814014668367347,0.17729591836734693,0.18354983627796173,0.9990426301956177,0.07207207207128023,0.13445378151122714,0.07207207207128023,0.999999999847561,0.13445376896836325,0.8316725127534446,0.8294426494328969,656,8446,0,41074,0.07374100719341567,0.13735343383440793,0.07374100719341567,0.999999999847561,0.13735342104092604,0.835778061222824,0.8336025848125331,656,8240,0,41280
